NASDAQ100_Tickers,Ticker
0,ADBE
1,AMD
2,ABNB
3,ALNY
4,GOOGL
5,GOOG
6,AMZN
7,AEP
8,AMGN
9,ADI
10,AAPL
11,AMAT
12,APP
13,ARM
14,ASML
15,ALAB
16,ADSK
17,ADP
18,AXON
19,BKR
20,BKNG
21,AVGO
22,CDNS
23,CTAS
24,CSCO
25,CCEP
26,CMCSA
27,CEG
28,CPRT
29,CRWV
30,COST
31,CRWD
32,CSX
33,DDOG
34,DXCM
35,FANG
36,DASH
37,EXC
38,FAST
39,FER
40,FTNT
41,GEHC
42,GILD
43,HONA
44,HON
45,IDXX
46,INTC
47,INTU
48,ISRG
49,KDP
50,KLAC
51,KHC
52,LRCX
53,LIN
54,LITE
55,MAR
56,MRVL
57,MELI
58,META
59,MCHP
60,MU
61,MSFT
62,MSTR
63,MDLZ
64,MPWR
65,MNST
66,NBIS
67,NFLX
68,NVDA
69,NXPI
70,ORLY
71,ODFL
72,PCAR
73,PLTR
74,PANW
75,PAYX
76,PYPL
77,PDD
78,PEP
79,QCOM
80,REGN
81,RKLB
82,ROP
83,ROST
84,SNDK
85,STX
86,SHOP
87,SPCX
88,SBUX
89,SNPS
90,TMUS
91,TTWO
92,TER
93,TSLA
94,TXN
95,TRI
96,VRTX
97,WMT
98,WBD
99,WDC
100,WDAY
101,XEL
