SP500_Tickers,Ticker
0,MMM
1,AOS
2,ABT
3,ABBV
4,ACN
5,ADBE
6,AMD
7,AES
8,AFL
9,A
10,APD
11,ABNB
12,AKAM
13,ALB
14,ARE
15,ALGN
16,ALLE
17,LNT
18,ALL
19,GOOGL
20,GOOG
21,MO
22,AMZN
23,AMCR
24,AEE
25,AEP
26,AXP
27,AIG
28,AMT
29,AWK
30,AMP
31,AME
32,AMGN
33,APH
34,ADI
35,AON
36,APA
37,APO
38,AAPL
39,AMAT
40,APP
41,APTV
42,ACGL
43,ADM
44,ARES
45,ANET
46,AJG
47,AIZ
48,T
49,ATO
50,ADSK
51,ADP
52,AZO
53,AVY
54,AXON
55,BKR
56,BALL
57,BAC
58,BAX
59,BDX
60,BRK-B
61,BBY
62,TECH
63,BIIB
64,BLK
65,BX
66,XYZ
67,BNY
68,BA
69,BKNG
70,BSX
71,BMY
72,AVGO
73,BR
74,BRO
75,BF-B
76,BLDR
77,BG
78,BXP
79,CHRW
80,CDNS
81,CPT
82,COF
83,CAH
84,CCL
85,CARR
86,CVNA
87,CASY
88,CAT
89,CBOE
90,CBRE
91,CDW
92,COR
93,CNC
94,CNP
95,CF
96,CRL
97,SCHW
98,CHTR
99,CVX
100,CMG
101,CB
102,CHD
103,CIEN
104,CI
105,CINF
106,CTAS
107,CSCO
108,C
109,CFG
110,CLX
111,CME
112,CMS
113,KO
114,CTSH
115,COHR
116,COIN
117,CL
118,CMCSA
119,FIX
120,COP
121,ED
122,STZ
123,CEG
124,COO
125,CPRT
126,GLW
127,CPAY
128,CTVA
129,CSGP
130,COST
131,CRH
132,CRWD
133,CCI
134,CSX
135,CMI
136,CVS
137,DHR
138,DRI
139,DDOG
140,DVA
141,DECK
142,DE
143,DELL
144,DAL
145,DVN
146,DXCM
147,FANG
148,DLR
149,DG
150,DLTR
151,D
152,DPZ
153,DASH
154,DOV
155,DOW
156,DHI
157,DTE
158,DUK
159,DD
160,ETN
161,EBAY
162,ECHO
163,ECL
164,EIX
165,EW
166,ELV
167,EME
168,EMR
169,ETR
170,EOG
171,EQT
172,EFX
173,EQIX
174,ERIE
175,ESS
176,EL
177,EG
178,EVRG
179,ES
180,EXC
181,EXE
182,EXPE
183,EXPD
184,EXR
185,XOM
186,FFIV
187,FDS
188,FICO
189,FAST
190,FRT
191,FDX
192,FDXF
193,FERG
194,FIS
195,FITB
196,FSLR
197,FE
198,FISV
199,FLEX
200,F
201,FTNT
202,FTV
203,FOXA
204,FOX
205,BEN
206,FCX
207,GRMN
208,IT
209,GE
210,GEHC
211,GEV
212,GEN
213,GNRC
214,GD
215,GIS
216,GM
217,GPC
218,GILD
219,GPN
220,GL
221,GDDY
222,GS
223,HAL
224,HIG
225,HAS
226,HCA
227,DOC
228,HSIC
229,HSY
230,HPE
231,HLT
232,HD
233,HONA
234,HON
235,HRL
236,HST
237,HWM
238,HPQ
239,HUBB
240,HUM
241,HBAN
242,HII
243,IBM
244,IEX
245,IDXX
246,ITW
247,INCY
248,IR
249,PODD
250,INTC
251,IBKR
252,ICE
253,IFF
254,IP
255,INTU
256,ISRG
257,IVZ
258,INVH
259,IQV
260,IRM
261,JBHT
262,JBL
263,JKHY
264,J
265,JNJ
266,JCI
267,JPM
268,KVUE
269,KDP
270,KEY
271,KEYS
272,KMB
273,KIM
274,KMI
275,KKR
276,KLAC
277,KHC
278,KR
279,LHX
280,LH
281,LRCX
282,LVS
283,LDOS
284,LEN
285,LII
286,LLY
287,LIN
288,LYV
289,LMT
290,L
291,LOW
292,LULU
293,LITE
294,LYB
295,MTB
296,MPC
297,MAR
298,MRSH
299,MLM
300,MRVL
301,MAS
302,MA
303,MKC
304,MCD
305,MCK
306,MDT
307,MRK
308,META
309,MET
310,MTD
311,MGM
312,MCHP
313,MU
314,MSFT
315,MAA
316,MRNA
317,TAP
318,MDLZ
319,MPWR
320,MNST
321,MCO
322,MS
323,MOS
324,MSI
325,MSCI
326,NDAQ
327,NTAP
328,NFLX
329,NEM
330,NWSA
331,NWS
332,NEE
333,NKE
334,NI
335,NDSN
336,NSC
337,NTRS
338,NOC
339,NCLH
340,NRG
341,NUE
342,NVDA
343,NVR
344,NXPI
345,ORLY
346,OXY
347,ODFL
348,OMC
349,ON
350,OKE
351,ORCL
352,OTIS
353,PCAR
354,PKG
355,PLTR
356,PANW
357,PSKY
358,PH
359,PAYX
360,PYPL
361,PNR
362,PEP
363,PFE
364,PCG
365,PM
366,PSX
367,PNW
368,PNC
369,PPG
370,PPL
371,PFG
372,PG
373,PGR
374,PLD
375,PRU
376,PEG
377,PTC
378,PSA
379,PHM
380,PWR
381,QCOM
382,DGX
383,Q
384,RL
385,RJF
386,RDDT
387,RTX
388,O
389,REG
390,REGN
391,RF
392,RSG
393,RMD
394,RVTY
395,HOOD
396,ROK
397,ROL
398,ROP
399,ROST
400,RCL
401,SPGI
402,CRM
403,SNDK
404,SBAC
405,SLB
406,STX
407,SRE
408,NOW
409,SHW
410,SPG
411,SWKS
412,SJM
413,SW
414,SNA
415,SOLV
416,SO
417,LUV
418,SWK
419,SBUX
420,STT
421,STLD
422,STE
423,SYK
424,SMCI
425,SYF
426,SNPS
427,SYY
428,TMUS
429,TROW
430,TTWO
431,TPR
432,TRGP
433,TGT
434,TEL
435,TDY
436,TER
437,TSLA
438,TXN
439,TPL
440,TXT
441,TMO
442,TJX
443,TKO
444,TTD
445,TSCO
446,TT
447,TDG
448,TRV
449,TRMB
450,TFC
451,TYL
452,TSN
453,USB
454,UBER
455,UDR
456,ULTA
457,UNP
458,UAL
459,UPS
460,URI
461,UNH
462,UHS
463,VLO
464,VEEV
465,VTR
466,VLTO
467,VRSN
468,VRSK
469,VZ
470,VRTX
471,VRT
472,VTRS
473,VICI
474,V
475,VST
476,VMRK
477,VMC
478,WRB
479,GWW
480,WAB
481,WMT
482,DIS
483,WBD
484,WM
485,WAT
486,WEC
487,WFC
488,WELL
489,WST
490,WDC
491,WY
492,WSM
493,WMB
494,WTW
495,WDAY
496,WYNN
497,XEL
498,XYL
499,YUM
500,ZBRA
501,ZBH
502,ZTS
