Date,Ticker,Open,High,Low,Close,Adj Close,Volume
1998-01-20,DIA,77.81,78.84,77.41,78.81,43.45,1744600.0
1998-01-21,DIA,78.09,78.38,77.28,77.84,42.92,1839600.0
1998-01-22,DIA,77.19,77.86,76.94,77.19,42.56,1662600.0
1998-01-23,DIA,77.5,77.75,76.31,77.0,42.45,1693700.0
1998-01-26,DIA,77.38,77.67,76.94,77.31,42.63,1172800.0
1998-01-27,DIA,77.12,78.56,77.08,78.22,43.13,1454500.0
1998-01-28,DIA,78.38,79.23,78.22,79.12,43.63,1181200.0
1998-01-29,DIA,79.06,80.25,78.89,79.41,43.78,1468500.0
1998-01-30,DIA,79.94,79.94,78.97,79.23,43.69,1095600.0
1998-02-02,DIA,80.62,81.31,80.41,81.02,44.67,955600.0
1998-02-03,DIA,81.0,81.67,80.66,81.66,45.02,619400.0
1998-02-04,DIA,81.22,81.66,80.81,81.22,44.78,753200.0
1998-02-05,DIA,81.81,81.91,80.73,81.23,44.79,1067600.0
1998-02-06,DIA,81.5,82.17,81.36,82.11,45.27,1069700.0
1998-02-09,DIA,82.09,82.25,81.44,81.78,45.09,515900.0
1998-02-10,DIA,82.03,83.34,81.92,83.16,45.85,892100.0
1998-02-11,DIA,82.97,83.39,82.84,83.16,45.85,515000.0
1998-02-12,DIA,82.73,84.11,82.38,83.69,46.14,1065000.0
1998-02-13,DIA,83.34,83.84,83.17,83.64,46.12,596700.0
1998-02-17,DIA,84.31,84.72,83.89,84.06,46.35,840600.0
1998-02-18,DIA,84.08,84.7,83.84,84.62,46.66,773000.0
1998-02-19,DIA,84.64,84.7,83.83,83.83,46.22,804800.0
1998-02-20,DIA,84.08,84.47,83.31,84.28,46.47,540600.0
1998-02-23,DIA,85.0,85.0,83.97,84.25,46.45,639200.0
1998-02-24,DIA,84.12,84.41,83.53,84.0,46.31,702700.0
1998-02-25,DIA,84.25,85.16,84.08,84.69,46.69,687400.0
1998-02-26,DIA,84.61,85.22,84.41,85.16,46.95,439800.0
1998-02-27,DIA,85.11,85.95,84.89,85.59,47.19,451300.0
1998-03-02,DIA,85.75,85.86,85.28,85.72,47.26,1062800.0
1998-03-03,DIA,85.22,86.12,85.19,86.11,47.48,596600.0
1998-03-04,DIA,85.62,85.88,85.11,85.53,47.16,691700.0
1998-03-05,DIA,84.5,85.27,84.22,84.78,46.74,778300.0
1998-03-06,DIA,85.09,86.03,85.09,86.03,47.43,933100.0
1998-03-09,DIA,85.62,86.58,85.59,85.88,47.35,685300.0
1998-03-10,DIA,86.38,86.75,86.16,86.72,47.81,563700.0
1998-03-11,DIA,86.94,87.23,86.73,87.0,47.97,406600.0
1998-03-12,DIA,86.94,87.06,86.31,86.89,47.91,576700.0
1998-03-13,DIA,87.19,87.25,86.09,86.16,47.5,458900.0
1998-03-16,DIA,86.56,87.47,86.34,87.47,48.23,733000.0
1998-03-17,DIA,87.28,87.78,87.08,87.77,48.39,499900.0
1998-03-18,DIA,87.59,88.02,87.28,87.98,48.51,410900.0
1998-03-19,DIA,88.0,88.3,87.84,88.23,48.65,730000.0
1998-03-20,DIA,88.56,89.41,88.28,89.16,49.16,754300.0
1998-03-23,DIA,89.19,89.19,88.39,88.48,48.79,551600.0
1998-03-24,DIA,88.97,89.86,88.92,89.44,49.31,470300.0
1998-03-25,DIA,90.06,90.06,88.25,88.88,49.0,966200.0
1998-03-26,DIA,88.84,89.3,88.52,88.62,48.86,412800.0
1998-03-27,DIA,89.34,89.41,87.88,88.27,48.67,584100.0
1998-03-30,DIA,88.28,88.56,87.69,88.16,48.6,562400.0
1998-03-31,DIA,88.47,89.31,88.06,88.19,48.62,620000.0
1998-04-01,DIA,88.36,89.2,87.72,88.94,49.04,373700.0
1998-04-02,DIA,88.91,90.25,88.83,90.16,49.71,440600.0
1998-04-03,DIA,90.25,90.58,89.81,90.09,49.67,493300.0
1998-04-06,DIA,90.88,91.25,90.34,90.38,49.83,610500.0
1998-04-07,DIA,90.38,90.39,89.25,89.89,49.56,707300.0
1998-04-08,DIA,90.06,90.06,88.83,89.28,49.23,949500.0
1998-04-09,DIA,89.66,90.47,89.62,90.38,49.83,451700.0
1998-04-13,DIA,90.73,90.73,89.56,90.34,49.81,337900.0
1998-04-14,DIA,90.53,91.52,90.53,91.44,50.41,451500.0
1998-04-15,DIA,91.66,92.02,91.2,92.02,50.73,261800.0
1998-04-16,DIA,91.7,91.7,90.8,91.06,50.21,232800.0
1998-04-17,DIA,90.73,91.75,90.58,91.7,50.75,382900.0
1998-04-20,DIA,91.59,91.66,91.0,91.3,50.52,299400.0
1998-04-21,DIA,91.25,91.92,90.97,91.91,50.86,372000.0
1998-04-22,DIA,91.86,92.11,91.69,91.84,50.83,503400.0
1998-04-23,DIA,91.72,92.03,91.11,91.31,50.53,597700.0
1998-04-24,DIA,91.22,91.56,90.06,90.55,50.11,820200.0
1998-04-27,DIA,89.44,89.88,88.39,89.25,49.39,1916800.0
1998-04-28,DIA,90.03,90.12,88.66,88.98,49.25,437200.0
1998-04-29,DIA,89.28,89.95,88.92,89.42,49.49,298700.0
1998-04-30,DIA,90.33,91.31,90.22,90.88,50.29,443100.0
1998-05-01,DIA,91.09,91.66,90.81,91.66,50.72,338300.0
1998-05-04,DIA,91.98,92.58,91.81,91.81,50.81,542500.0
1998-05-05,DIA,91.5,91.86,90.97,91.48,50.63,325600.0
1998-05-06,DIA,91.84,91.86,90.28,90.28,49.96,665500.0
1998-05-07,DIA,90.62,90.62,89.72,89.73,49.66,593100.0
1998-05-08,DIA,89.75,90.98,89.69,90.94,50.33,638100.0
1998-05-11,DIA,91.28,91.84,90.69,90.92,50.32,703100.0
1998-05-12,DIA,90.91,91.92,90.61,91.92,50.87,479000.0
1998-05-13,DIA,91.91,92.36,91.62,92.25,51.05,399400.0
1998-05-14,DIA,91.56,92.3,91.34,91.81,50.81,622900.0
1998-05-15,DIA,91.88,91.88,90.8,90.8,50.3,280900.0
1998-05-18,DIA,90.88,91.33,90.0,90.53,50.15,249200.0
1998-05-19,DIA,91.12,91.31,90.38,90.56,50.17,482100.0
1998-05-20,DIA,91.25,91.88,90.64,91.78,50.84,304400.0
1998-05-21,DIA,91.94,92.17,91.11,91.38,50.62,530600.0
1998-05-22,DIA,91.59,91.59,90.94,91.23,50.54,219000.0
1998-05-26,DIA,91.73,91.84,89.66,89.66,49.67,561300.0
1998-05-27,DIA,89.0,89.86,87.94,89.66,49.67,1041100.0
1998-05-28,DIA,89.75,90.09,89.19,89.98,49.85,367700.0
1998-05-29,DIA,90.28,90.42,88.84,88.84,49.22,232400.0
1998-06-01,DIA,88.62,89.86,88.59,89.41,49.53,445800.0
1998-06-02,DIA,89.73,89.88,88.78,88.95,49.28,391600.0
1998-06-03,DIA,89.38,89.41,87.81,87.84,48.66,473100.0
1998-06-04,DIA,87.88,88.95,87.53,88.89,49.24,636200.0
1998-06-05,DIA,89.47,90.86,89.0,90.86,50.33,1014000.0
1998-06-08,DIA,90.75,91.25,90.48,90.92,50.37,467900.0
1998-06-09,DIA,90.81,91.05,90.36,90.73,50.26,180100.0
1998-06-10,DIA,90.28,91.12,89.58,89.75,49.72,531300.0
1998-06-11,DIA,90.03,90.14,88.12,88.12,48.82,529200.0
1998-06-12,DIA,88.19,88.62,86.88,88.56,49.06,909200.0
1998-06-15,DIA,87.56,87.94,85.95,86.0,47.64,617400.0
1998-06-16,DIA,86.81,86.94,85.94,86.8,48.08,796500.0
1998-06-17,DIA,87.78,89.17,87.56,88.66,49.11,895100.0
1998-06-18,DIA,88.44,88.72,88.09,88.31,48.92,219000.0
1998-06-19,DIA,88.41,88.55,86.86,87.08,48.34,506100.0
1998-06-22,DIA,87.19,87.7,86.8,87.17,48.39,161500.0
