Date,DIA,NDAQ,SPY
2021-01-04,274.38,40.83,342.44
2021-01-05,275.76,40.82,344.8
2021-01-06,279.73,41.88,346.86
2021-01-07,281.81,42.32,352.01
2021-01-08,282.3,42.94,354.02
2021-01-11,281.51,43.58,351.63
2021-01-12,282.02,43.9,351.7
2021-01-13,281.92,44.08,352.65
2021-01-14,281.4,43.96,351.42
2021-01-15,279.76,43.32,348.85
2021-01-19,280.85,44.0,351.59
2021-01-20,283.07,44.44,356.46
2021-01-21,283.17,43.74,356.78
2021-01-22,281.44,43.44,355.52
2021-01-25,281.15,44.02,356.92
2021-01-26,280.91,43.65,356.37
2021-01-27,275.35,43.68,347.66
2021-01-28,277.9,43.01,350.65
2021-01-29,272.22,41.84,343.63
2021-02-01,274.22,42.88,349.35
2021-02-02,278.58,44.11,354.29
2021-02-03,278.98,43.97,354.56
2021-02-04,282.08,44.41,358.59
2021-02-05,282.87,44.11,360.0
2021-02-08,285.0,44.06,362.6
2021-02-09,285.03,44.27,362.36
2021-02-10,285.55,44.07,362.21
2021-02-11,285.72,44.04,362.79
2021-02-12,286.04,43.92,364.58
2021-02-16,286.53,44.54,364.27
2021-02-17,287.46,44.76,364.35
2021-02-18,286.52,44.81,362.8
2021-02-19,286.48,44.68,362.16
2021-02-22,286.74,43.81,359.37
2021-02-23,286.91,43.41,359.81
2021-02-24,290.67,43.92,363.77
2021-02-25,285.63,43.4,355.01
2021-02-26,281.5,42.78,353.18
2021-03-01,287.09,43.88,361.74
2021-03-02,285.82,43.5,358.92
2021-03-03,284.72,42.29,354.16
2021-03-04,281.62,42.69,349.78
2021-03-05,286.77,44.76,356.22
2021-03-08,289.51,44.85,354.44
2021-03-09,289.84,45.36,359.5
2021-03-10,294.13,44.71,361.74
2021-03-11,295.95,44.73,365.41
2021-03-12,298.66,44.82,365.9
2021-03-15,300.28,45.31,368.08
2021-03-16,299.16,45.15,367.62
2021-03-17,300.9,44.7,368.87
2021-03-18,299.62,44.99,363.51
2021-03-19,297.17,45.23,362.83
2021-03-22,298.3,45.66,365.73
2021-03-23,295.4,45.8,362.85
2021-03-24,295.42,45.73,361.01
2021-03-25,297.34,45.49,363.04
2021-03-26,301.37,46.78,368.89
2021-03-29,302.32,46.82,368.7
2021-03-30,301.56,45.76,367.72
2021-03-31,300.98,45.77,369.21
2021-04-01,302.13,46.82,373.2
2021-04-05,305.55,47.21,378.56
2021-04-06,304.79,47.38,378.33
2021-04-07,304.79,46.8,378.77
2021-04-08,305.49,47.65,380.57
2021-04-09,307.98,48.45,383.34
2021-04-12,307.69,48.45,383.48
2021-04-13,307.0,49.02,384.61
2021-04-14,307.68,48.87,383.3
2021-04-15,310.33,49.68,387.42
2021-04-16,311.72,49.71,388.71
2021-04-19,310.71,49.23,386.8
2021-04-20,308.31,49.56,383.97
2021-04-21,311.21,49.45,387.6
2021-04-22,308.31,49.57,384.06
2021-04-23,310.42,50.43,388.23
2021-04-26,309.91,49.67,389.04
2021-04-27,309.87,49.91,388.95
2021-04-28,308.54,49.55,388.84
2021-04-29,310.55,50.25,391.32
2021-04-30,309.06,50.14,388.75
2021-05-03,311.04,50.43,389.59
2021-05-04,311.39,50.76,387.18
2021-05-05,312.11,50.76,387.31
2021-05-06,315.05,50.77,390.4
2021-05-07,317.21,51.08,393.24
2021-05-10,317.09,50.76,389.35
2021-05-11,312.68,49.58,385.87
2021-05-12,306.38,49.15,377.67
2021-05-13,310.44,49.94,382.21
2021-05-14,313.91,51.01,388.08
2021-05-17,313.36,50.82,387.09
2021-05-18,311.04,50.26,383.76
2021-05-19,309.52,49.95,382.75
2021-05-20,311.41,50.73,386.87
2021-05-21,312.53,50.86,386.55
2021-05-24,314.29,51.19,390.49
2021-05-25,313.57,51.0,389.63
2021-05-26,313.66,51.35,390.4
2021-05-27,314.87,51.52,390.6
2021-05-28,315.82,51.98,391.3
2021-06-01,316.03,51.04,390.96
2021-06-02,316.48,51.78,391.57
2021-06-03,316.17,52.16,390.12
2021-06-04,317.89,52.84,393.69
2021-06-07,316.69,52.42,393.31
2021-06-08,316.46,52.44,393.39
2021-06-09,315.05,52.49,392.8
2021-06-10,315.22,52.42,394.63
2021-06-11,315.35,53.85,395.28
2021-06-14,314.6,54.54,396.16
2021-06-15,313.78,54.89,395.44
2021-06-16,311.36,55.22,393.23
2021-06-17,309.43,55.98,393.1
2021-06-18,304.68,54.74,387.8
2021-06-21,310.0,55.67,393.35
2021-06-22,310.62,55.64,395.45
2021-06-23,310.0,55.41,394.98
2021-06-24,312.93,55.36,397.31
2021-06-25,315.19,55.45,398.72
2021-06-28,313.68,55.15,399.53
2021-06-29,313.74,55.07,399.74
2021-06-30,315.65,54.74,400.08
2021-07-01,316.94,54.81,402.29
2021-07-02,318.39,55.39,405.37
2021-07-06,316.45,54.91,404.63
2021-07-07,317.45,54.85,406.06
2021-07-08,315.13,54.2,402.75
2021-07-09,319.11,54.73,407.05
2021-07-12,320.3,55.94,408.51
2021-07-13,319.36,55.76,407.12
2021-07-14,319.73,55.45,407.72
2021-07-15,320.22,55.63,406.33
2021-07-16,317.48,55.59,403.14
2021-07-19,311.2,55.16,397.19
2021-07-20,315.96,56.33,402.88
2021-07-21,318.62,58.0,406.14
2021-07-22,318.87,57.71,406.99
2021-07-23,320.98,58.46,411.18
2021-07-26,321.75,58.1,412.19
2021-07-27,321.03,57.82,410.31
2021-07-28,319.88,57.77,410.14
